
TIME               |OLD_HASH_VALUE|EXECUTIONS|DISK_READS|BUFFER_GETS|ROWS_PROCESSED|  CPU_TIME|ELAPSED_TIME|SQL                         |MODULE
2016/05/23 10:11:04|    2604658692|         0|         0|          0|             0|         0|           0|SELECT                      |DBMS_SCHEDULER
2016/05/23 10:11:04|    2211398013|         0|         0|          0|             0|         0|           0|SELECT                      |
2016/05/23 10:11:04|    2926525797|         1|         0|          3|             1|         0|     .000343|SELECT                      |
2016/05/23 10:11:04|     146016073|         2|         0|         10|             2|         0|     .000588|UPDATE                      |DBMS_SCHEDULER
2016/05/23 10:11:04|    3851509341|         0|         0|          0|             0|         0|           0|INSERT                      |
2016/05/23 10:11:04|    3586867299|         0|         0|          0|             0|         0|           0|SELECT                      |
2016/05/23 10:11:04|    2779653293|         0|         0|          0|             0|         0|           0|SELECT                      |DBMS_SCHEDULER
2016/05/23 10:11:04|    2344350083|         0|         0|          0|             0|         0|           0|SELECT                      |
2016/05/23 10:11:04|    1560281894|         0|         0|          0|             0|         0|           0|SELECT                      |DBMS_SCHEDULER
2016/05/23 10:11:04|    1522109163|         0|         0|          0|             0|         0|           0|SELECT                      |MMON_SLAVE
2016/05/23 10:11:04|    3468666020|         0|         0|          0|             0|         0|           0|SELECT                      |
2016/05/23 10:11:04|     145606805|         1|         0|          4|             7|      .001|     .000601|SELECT                      |
2016/05/23 10:11:04|    2283271792|         2|         0|         12|             2|   .001999|     .000619|INSERT                      |DBMS_SCHEDULER
2016/05/23 10:11:04|    3865717366|         0|         0|          0|             0|         0|           0|SELECT                      |DBMS_SCHEDULER
2016/05/23 10:11:04|     507212583|         0|         0|          0|             0|         0|           0|SELECT                      |
2016/05/23 10:11:04|     533171205|         0|         0|          0|             0|         0|           0|SELECT                      |
2016/05/23 10:11:04|    1561522060|         0|         0|          0|             0|         0|           0|UPDATE                      |DBMS_SCHEDULER
2016/05/23 10:11:04|    4253835413|         0|         0|          0|             0|         0|           0|SELECT                      |DBMS_SCHEDULER
2016/05/23 10:11:04|    1566118407|         0|         0|          0|             0|         0|           0|DECLARE                     |
2016/05/23 10:11:04|    1125707979|         0|         0|          0|             0|         0|           0|SELECT                      |
2016/05/23 10:11:04|    1178168971|        12|         0|         24|             0|      .002|     .002716|SELECT                      |
2016/05/23 10:11:04|    1281387645|         6|         0|         18|             0|   .002999|     .002173|SELECT                      |
2016/05/23 10:11:04|    1520971034|         1|         0|          3|             0|         0|     .000083|SELECT                      |
2016/05/23 10:11:04|    3346485941|         6|         0|        348|             0|   .013997|     .015064|SELECT                      |
2016/05/23 10:11:04|     132475916|         3|         0|          0|             3|      .001|      .00095|BEGIN D                     |DBMS_SCHEDULER
2016/05/23 10:11:04|    1254950678|         1|         0|          3|             1|         0|     .000184|SELECT                      |
2016/05/23 10:11:04|     388788700|         1|         0|          2|             0|         0|     .000107|SELECT                      |
2016/05/23 10:11:04|    4259444789|         6|         0|          6|             0|         0|      .00064|SELECT                      |
2016/05/23 10:11:04|    3715989406|        26|         0|         97|            26|      .001|     .001297|SELECT                      |SQL*Plus
2016/05/23 10:11:04|    2042051015|         2|         0|         14|             2|         0|     .000934|INSERT                      |DBMS_SCHEDULER
2016/05/23 10:11:04|     656850954|         1|         0|          4|             1|      .001|     .000671|SELECT                      |
2016/05/23 10:11:04|    1232162599|         1|         0|          3|             1|   .000999|     .000108|SELECT                      |
